id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-13 16:07:46,rf_model_nb15_dos,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1355,18541,59,505,0.9724,0.9583,0.7285,0.8277,0.9312,0.8445,0.7285,0.2715,0.9968,0.0032
12,2026-07-13 16:08:34,rf_model_nb15_dos,nb15,"DoS, Normal",102300,1746,18541,59,114,0.9915,0.9673,0.9387,0.9528,0.994,0.9795,0.9387,0.0613,0.9968,0.0032
22,2026-07-13 16:09:25,rf_model_nb15_dos,nb15,"Exploits, Normal",102300,1430,18541,59,430,0.9761,0.9604,0.7688,0.854,0.9755,0.9297,0.7688,0.2312,0.9968,0.0032
32,2026-07-13 16:10:13,rf_model_nb15_dos,nb15,"Fuzzers, Normal",102300,283,18541,59,1577,0.92,0.8275,0.1522,0.257,0.7195,0.3753,0.1522,0.8478,0.9968,0.0032
42,2026-07-13 16:11:01,rf_model_nb15_dos,nb15,"Generic, Normal",102300,1843,18541,59,17,0.9963,0.969,0.9909,0.9798,0.9972,0.9779,0.9909,0.0091,0.9968,0.0032
52,2026-07-13 16:11:51,rf_model_nb15_dos,nb15,"Reconnaissance, Normal",102300,445,18541,59,1415,0.928,0.8829,0.2392,0.3765,0.796,0.5037,0.2392,0.7608,0.9968,0.0032
62,2026-07-13 16:12:39,rf_model_nb15_dos,injection,"Fuzzers, Normal, DoS, Generic, Exploits, Reconnaissance, Syn_DDoS, Botnet, DDoS, UDP_DDoS",102300,1284,18541,59,576,0.969,0.9561,0.6903,0.8017,0.9271,0.8318,0.6903,0.3097,0.9968,0.0032
72,2026-07-13 16:13:26,rf_model_nb15_dos,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,515,18541,59,1345,0.9314,0.8972,0.2769,0.4232,0.9906,0.87,0.2769,0.7231,0.9968,0.0032
82,2026-07-13 16:14:13,rf_model_nb15_dos,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,296,18541,59,1564,0.9207,0.8338,0.1591,0.2673,0.982,0.8489,0.1591,0.8409,0.9968,0.0032
92,2026-07-13 16:14:58,rf_model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,787,18541,59,1073,0.9447,0.9303,0.4231,0.5817,0.9961,0.9271,0.4231,0.5769,0.9968,0.0032
102,2026-07-13 16:15:44,rf_model_nb15_dos,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,14,18541,59,1846,0.9069,0.1918,0.0075,0.0145,0.9779,0.7987,0.0075,0.9925,0.9968,0.0032
112,2026-07-13 16:16:31,rf_model_nb15_dos,nb15_sat20,"Syn_DDoS, Normal",102300,0,18541,59,1860,0.9062,0.0,0.0,0.0,0.9962,0.9319,0.0,1.0,0.9968,0.0032
122,2026-07-13 16:17:17,rf_model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal",102300,1436,18541,59,424,0.9764,0.9605,0.772,0.856,0.9942,0.9338,0.772,0.228,0.9968,0.0032
132,2026-07-13 16:18:02,rf_model_nb15_dos,nb15_ter20,"Botnet, Normal",102300,40,18541,59,1820,0.9082,0.404,0.0215,0.0408,0.9644,0.7779,0.0215,0.9785,0.9968,0.0032
142,2026-07-13 16:18:46,rf_model_nb15_dos,nb15_ter20,"DDoS, Normal",102300,8,18541,59,1852,0.9066,0.1194,0.0043,0.0083,0.9735,0.7579,0.0043,0.9957,0.9968,0.0032
152,2026-07-13 16:19:31,rf_model_nb15_dos,nb15_ter20,"Syn_DDoS, Normal",102300,0,18541,59,1860,0.9062,0.0,0.0,0.0,0.9944,0.8872,0.0,1.0,0.9968,0.0032
162,2026-07-13 16:20:19,rf_model_nb15_dos,nb15_ter20,"UDP_DDoS, Normal",102300,0,18541,59,1860,0.9062,0.0,0.0,0.0,0.9959,0.9269,0.0,1.0,0.9968,0.0032
