id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
7,2026-06-23 15:16:57,isolation_forest,if_model_1,nb15+sat20,Normal_Syn_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9477833630895633,0.5651563343724175
8,2026-06-23 15:16:58,isolation_forest,if_model_1,nb15+sat20,Normal_UDP_DDoS,20461,895,16788,1812,966,0.39185639229422065,0.33062430735131143,0.48092423428264375,0.9264026017923074,0.46724142475696956
9,2026-06-23 15:16:59,isolation_forest,if_model_1,nb15+sat20,Normal_sat20,20462,1376,16788,1812,486,0.544950495049505,0.4316185696361355,0.7389903329752954,0.937195407874525,0.4721536144041749
7,2026-06-23 15:17:09,random_forest,rf_model_1,nb15+sat20,Normal_Syn_DDoS,20461,0,18546,54,1861,0.0,0.0,0.0,0.9948282805521369,0.9240523999094837
8,2026-06-23 15:17:10,random_forest,rf_model_1,nb15+sat20,Normal_UDP_DDoS,20461,1212,18546,54,649,0.7751838823153182,0.957345971563981,0.6512627619559377,0.996023672092123,0.9446150246716645
25,2026-06-23 15:17:20,random_forest,rf_model_2,nb15+sat20,Normal_Syn_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.861071296504943,0.3264798750738475
26,2026-06-23 15:17:21,random_forest,rf_model_2,nb15+sat20,Normal_UDP_DDoS,20461,944,18509,91,917,0.6519337016574586,0.9120772946859903,0.5072541644277271,0.9948691014774113,0.9165245202334176
43,2026-06-23 15:17:32,random_forest,rf_model_3,nb15+sat20,Normal_Syn_DDoS,20461,0,18206,394,1861,0.0,0.0,0.0,0.8796557810865936,0.3792038342664339
44,2026-06-23 15:17:33,random_forest,rf_model_3,nb15+sat20,Normal_UDP_DDoS,20461,849,18206,394,1012,0.5470360824742269,0.6830249396621078,0.45620634067705534,0.9772587289756343,0.7067007267749817
61,2026-06-23 15:17:44,random_forest,rf_model_4,nb15+sat20,Normal_Syn_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.603896058310655,0.29729081688142994
62,2026-06-23 15:17:44,random_forest,rf_model_4,nb15+sat20,Normal_UDP_DDoS,20461,36,18596,4,1825,0.03787480273540242,0.9,0.01934443847393874,0.9723309528349309,0.8011889484357332
79,2026-06-23 15:17:53,random_forest,rf_model_5,nb15+sat20,Normal_Syn_DDoS,20461,1514,18522,78,347,0.8769186214885607,0.9510050251256281,0.8135411069317571,0.9961612152097669,0.9343066894537113
80,2026-06-23 15:17:54,random_forest,rf_model_5,nb15+sat20,Normal_UDP_DDoS,20461,42,18522,78,1819,0.04240282685512368,0.35,0.022568511552928532,0.986265708689397,0.7921249697845543
98,2026-06-23 15:18:04,random_forest,rf_model_6,nb15+sat20,Normal_Syn_DDoS,20461,0,18469,131,1861,0.0,0.0,0.0,0.9329714917982587,0.4540469334047984
99,2026-06-23 15:18:05,random_forest,rf_model_6,nb15+sat20,Normal_UDP_DDoS,20461,1448,18469,131,413,0.8418604651162791,0.9170360987967068,0.7780763030628695,0.9918106810421035,0.8837351010707659
100,2026-06-23 15:18:06,random_forest,rf_model_6,nb15+sat20,Normal_sat20,20462,734,18469,131,1128,0.5383204987165383,0.8485549132947977,0.3941997851772288,0.9623352014829699,0.6809034986916715
115,2026-06-23 15:18:16,random_forest,rf_model_7,nb15+sat20,Normal_Syn_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0
116,2026-06-23 15:18:17,random_forest,rf_model_7,nb15+sat20,Normal_UDP_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,0.9999999999999999,1.0
129,2026-06-23 15:18:23,random_forest,rf_model_8,nb15+sat20,Normal_Syn_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0
130,2026-06-23 15:18:23,random_forest,rf_model_8,nb15+sat20,Normal_UDP_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0
131,2026-06-23 15:18:24,random_forest,rf_model_8,nb15+sat20,Normal_sat20,20462,1862,18600,0,0,1.0,1.0,1.0,1.0,1.0
