id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
9,2026-07-17 08:08:54,nb15_ter20_udp_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5011,0.0929,0.0,1.0,1.0,0.0
19,2026-07-17 08:09:09,nb15_ter20_udp_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5019,0.0943,0.0,1.0,1.0,0.0
29,2026-07-17 08:09:25,nb15_ter20_udp_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5008,0.0924,0.0,1.0,1.0,0.0
39,2026-07-17 08:09:42,nb15_ter20_udp_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5003,0.0914,0.0,1.0,1.0,0.0
49,2026-07-17 08:09:58,nb15_ter20_udp_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
59,2026-07-17 08:10:15,nb15_ter20_udp_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5008,0.0924,0.0,1.0,1.0,0.0
69,2026-07-17 08:10:33,nb15_ter20_udp_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1,18600,0,1859,0.9091,1.0,0.0005,0.0011,0.503,0.0963,0.0005,0.9995,1.0,0.0
79,2026-07-17 08:10:50,nb15_ter20_udp_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,624,18600,0,1236,0.9396,1.0,0.3355,0.5024,0.9997,0.9995,0.3355,0.6645,1.0,0.0
89,2026-07-17 08:11:08,nb15_ter20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,872,18600,0,988,0.9517,1.0,0.4688,0.6384,1.0,1.0,0.4688,0.5312,1.0,0.0
99,2026-07-17 08:11:25,nb15_ter20_udp_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,433,18600,0,1427,0.9303,1.0,0.2328,0.3777,1.0,1.0,0.2328,0.7672,1.0,0.0
109,2026-07-17 08:11:43,nb15_ter20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
119,2026-07-17 08:12:01,nb15_ter20_udp_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
129,2026-07-17 08:12:19,nb15_ter20_udp_ddos,nb15_ter20,"Normal, Botnet",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
139,2026-07-17 08:12:38,nb15_ter20_udp_ddos,nb15_ter20,"Normal, DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
149,2026-07-17 08:12:56,nb15_ter20_udp_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
159,2026-07-17 08:13:13,nb15_ter20_udp_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
